epoch,accuracy,loss,val_accuracy,val_loss
0,0.7428653240203857,0.5442091822624207,0.8582857251167297,0.4682254195213318
1,0.9474886059761047,0.28170132637023926,0.9485714435577393,0.3010849356651306
2,0.9703196287155151,0.18892408907413483,0.9702857136726379,0.2188054323196411
3,0.978881299495697,0.14269594848155975,0.9760000109672546,0.1763867735862732
4,0.9823059439659119,0.11590398848056793,0.977142870426178,0.15069082379341125
5,0.9814497828483582,0.09945898503065109,0.984000027179718,0.12746834754943848
6,0.9817351698875427,0.08842124789953232,0.9897142648696899,0.11064847558736801
7,0.9857305884361267,0.07677744328975677,0.9897142648696899,0.10149950534105301
8,0.9854452013969421,0.07230740785598755,0.9908571243286133,0.09021585434675217
9,0.9857305884361267,0.06592630594968796,0.9908571243286133,0.0849536657333374
