epoch,accuracy,loss,val_accuracy,val_loss
0,0.2612977921962738,1.5929418802261353,0.3069767355918884,1.3627614974975586
1,0.351680189371109,1.3270241022109985,0.45348837971687317,1.2013226747512817
2,0.4710312783718109,1.1648987531661987,0.5348837375640869,1.0800840854644775
3,0.5393974781036377,1.0553475618362427,0.5813953280448914,1.003375768661499
4,0.5967555046081543,0.973973274230957,0.6000000238418579,0.9461494088172913
5,0.6425260901451111,0.9180886149406433,0.630232572555542,0.9006137847900391
6,0.6714947819709778,0.8610418438911438,0.630232572555542,0.8726420402526855
7,0.6755504012107849,0.8268029689788818,0.6651162505149841,0.8407667279243469
8,0.6900347471237183,0.8071684241294861,0.6558139324188232,0.816102921962738
9,0.6923522353172302,0.7691952586174011,0.6651162505149841,0.795046329498291
10,0.7253766059875488,0.7209793329238892,0.669767439365387,0.7814311385154724
11,0.7126303315162659,0.7300593852996826,0.669767439365387,0.7700492739677429
12,0.7265353202819824,0.7035852074623108,0.699999988079071,0.7499226927757263
13,0.7369641065597534,0.6916823387145996,0.6790697574615479,0.7416344881057739
14,0.7219003438949585,0.6744847893714905,0.6883720755577087,0.7258110046386719
15,0.7410197257995605,0.6706080436706543,0.699999988079071,0.7156765460968018
16,0.7392815947532654,0.6562849283218384,0.7116279006004333,0.7095519304275513
17,0.7589802742004395,0.6413067579269409,0.7116279006004333,0.6997689604759216
18,0.7636153101921082,0.6357166767120361,0.7139534950256348,0.6949597597122192
19,0.7647740244865417,0.629591703414917,0.7209302186965942,0.6824705004692078
20,0.7543452978134155,0.6186572313308716,0.7093023061752319,0.6779744029045105
21,0.772885262966156,0.6142343878746033,0.7209302186965942,0.67307049036026
22,0.7647740244865417,0.6124094724655151,0.7209302186965942,0.668383002281189
23,0.7589802742004395,0.5998114347457886,0.7302325367927551,0.662284791469574
