epoch,accuracy,loss,val_accuracy,val_loss
10,0.5903823971748352,0.9675840139389038,0.6604651212692261,0.7585599422454834
11,0.6998841166496277,0.7581039071083069,0.6674418449401855,0.7282842397689819
12,0.7300115823745728,0.6773962378501892,0.6930232644081116,0.6887446045875549
13,0.7717265486717224,0.6083787083625793,0.7209302186965942,0.6619518399238586
14,0.7763615250587463,0.5804934501647949,0.7302325367927551,0.6342453360557556
15,0.8041715025901794,0.5316845178604126,0.7302325367927551,0.6186273694038391
16,0.7983777523040771,0.5075221657752991,0.7581395506858826,0.5938316583633423
17,0.8076477646827698,0.5070289373397827,0.7674418687820435,0.576643705368042
18,0.818076491355896,0.4698929786682129,0.7627906799316406,0.5678820610046387
19,0.8250289559364319,0.46255576610565186,0.7767441868782043,0.5456854701042175
20,0.8470451831817627,0.42761531472206116,0.7767441868782043,0.5326451659202576
21,0.8464658260345459,0.41820594668388367,0.7860465049743652,0.5187872052192688
22,0.8516801595687866,0.38917627930641174,0.7930232286453247,0.5109845399856567
23,0.861529529094696,0.3915795385837555,0.7930232286453247,0.5042845606803894
24,0.863847017288208,0.3687710464000702,0.7930232286453247,0.5023848414421082
25,0.8696407675743103,0.3687622547149658,0.7906976938247681,0.5011472702026367
26,0.8644264340400696,0.35439252853393555,0.8116279244422913,0.4900134801864624
27,0.885283887386322,0.3503738343715668,0.800000011920929,0.5078187584877014
28,0.8777520060539246,0.33375582098960876,0.7976744174957275,0.5122478604316711
29,0.885283887386322,0.3213425874710083,0.8209302425384521,0.49518245458602905
30,0.8829663991928101,0.31119802594184875,0.8162790536880493,0.4921693801879883
31,0.8968713879585266,0.2906974256038666,0.8209302425384521,0.47909316420555115
32,0.9061413407325745,0.2919176518917084,0.8139534592628479,0.482573002576828
33,0.9032444953918457,0.2903831899166107,0.8093023300170898,0.4905712604522705
34,0.9055619835853577,0.27722203731536865,0.8093023300170898,0.4977119266986847
35,0.9038238525390625,0.27276840806007385,0.804651141166687,0.5041501522064209
36,0.9032444953918457,0.27143847942352295,0.8023256063461304,0.5031245946884155
37,0.9038238525390625,0.266383558511734,0.8093023300170898,0.489871084690094
38,0.9096176028251648,0.25820392370224,0.8093023300170898,0.4879249632358551
39,0.9061413407325745,0.2594504654407501,0.8139534592628479,0.48969796299934387
40,0.9136732220649719,0.24295859038829803,0.8255813717842102,0.48099613189697266
41,0.9183081984519958,0.23966550827026367,0.8232558369636536,0.4835580289363861
