epoch,accuracy,loss,val_accuracy,val_loss
0,0.3410112261772156,1.3678734302520752,0.42889389395713806,1.249955415725708
1,0.5101123452186584,1.1086291074752808,0.5507900714874268,1.0996997356414795
2,0.5977528095245361,0.9606038928031921,0.5846500992774963,1.0068106651306152
3,0.6505618095397949,0.8656017780303955,0.6027088165283203,0.948844850063324
4,0.666292130947113,0.7964166402816772,0.6139954924583435,0.9107105135917664
5,0.6865168809890747,0.7597333788871765,0.6252821683883667,0.8806931376457214
6,0.7089887857437134,0.7139536142349243,0.6523702144622803,0.8487802147865295
7,0.7056179642677307,0.6880642175674438,0.6613995432853699,0.8301832675933838
8,0.7196629047393799,0.6566169261932373,0.6613995432853699,0.8121063709259033
9,0.7393258213996887,0.6379258632659912,0.6613995432853699,0.7948760390281677
